Mes,Producto,Ventas
Enero,Laptop Dell XPS 13,120
Enero,Smartphone iPhone 12,200
Enero,Smart TV Samsung 55",150
Febrero,Laptop Dell XPS 13,140
Febrero,Smartphone iPhone 12,180
Febrero,Smart TV Samsung 55",170
Marzo,Laptop Dell XPS 13,110
Marzo,Smartphone iPhone 12,220
Marzo,Smart TV Samsung 55",160
Abril,Laptop Dell XPS 13,130
Abril,Smartphone iPhone 12,190
Abril,Smart TV Samsung 55",180
Mayo,Laptop Dell XPS 13,150
Mayo,Smartphone iPhone 12,210
Mayo,Smart TV Samsung 55",200
Junio,Laptop Dell XPS 13,125
Junio,Smartphone iPhone 12,180
Junio,Smart TV Samsung 55",190
Julio,Laptop Dell XPS 13,135
Julio,Smartphone iPhone 12,200
Julio,Smart TV Samsung 55",220
Agosto,Laptop Dell XPS 13,120
Agosto,Smartphone iPhone 12,190
Agosto,Smart TV Samsung 55",210
Septiembre,Laptop Dell XPS 13,110
Septiembre,Smartphone iPhone 12,180
Septiembre,Smart TV Samsung 55",200
Octubre,Laptop Dell XPS 13,140
Octubre,Smartphone iPhone 12,200
Octubre,Smart TV Samsung 55",170
Noviembre,Laptop Dell XPS 13,130
Noviembre,Smartphone iPhone 12,190
Noviembre,Smart TV Samsung 55",180
Diciembre,Laptop Dell XPS 13,160
Diciembre,Smartphone iPhone 12,220
Diciembre,Smart TV Samsung 55",190
